tract,neighborhood,area,total_tract_area,tract_percent
101110,Tujunga,12295621.306506084,12295621.306506088,0.9999999999999997
101122,Sunland,72319.13575182701,28457743.221125543,0.0025412814779402835
101122,Tujunga,28385424.08537372,28457743.221125543,0.9974587185220598
101220,Tujunga,7522092.729637838,7522092.729637838,1.0
101221,Tujunga,3811999.5866184095,3811999.5866184114,0.9999999999999996
101222,Tujunga,3191370.8914325773,3191370.8914325763,1.0000000000000002
101300,Shadow Hills,116821.49867544587,27773766.176034834,0.0042061813992028095
101300,Tujunga,27656770.83933155,27773766.176034834,0.9957875595278742
101300,Glendale,173.83802781618283,27773766.176034834,6.2590729220649435e-06
101400,Sunland,257160.90758970447,67915322.85191335,0.0037864931916827306
101400,Tujunga,67322259.04362383,67915322.85191335,0.9912675993666015
101400,Shadow Hills,335902.90069973475,67915322.85191335,0.0049459074417147015
102103,Sun Valley,367347.87837490527,12770285.801113654,0.028765830623999823
102103,Shadow Hills,12402937.922738548,12770285.801113654,0.9712341693759845
102104,Shadow Hills,16477832.321949009,17854103.93609201,0.92291567142942
102104,Burbank,28513.07713259544,17854103.93609201,0.0015970040969099744
102104,Sun Valley,1347758.5370103233,17854103.93609201,0.07548732447366534
102105,Sun Valley,5303654.402511579,5303654.402511581,0.9999999999999997
102107,Sun Valley,166.52555929844527,139083385.61569762,1.1973073459584407e-06
102107,Sunland,1787878.5181463507,139083385.61569762,0.012854723878281564
102107,Tujunga,13950517.600923637,139083385.61569762,0.10030326439903052
102107,Shadow Hills,123344822.97106822,139083385.61569762,0.8868408144153411
103101,Lake View Terrace,78771.16269301192,21846686.720026087,0.0036056342869056285
103101,Sunland,19887109.08619701,21846686.720026087,0.9103032116978726
103101,Tujunga,1880806.4711360645,21846686.720026087,0.0860911540152217
103102,Sunland,10538081.401509732,13357090.138215363,0.788950384587112
103102,Tujunga,2819008.736705604,13357090.138215363,0.21104961541288594
103201,Sunland,21039345.02110962,21039345.021109615,1.0000000000000002
103202,Lake View Terrace,40949522.97215679,50999128.21593044,0.8029455483783253
103202,Shadow Hills,2669633.5052607586,50999128.21593044,0.05234664980855209
103202,Tujunga Canyons,104.18270924906216,50999128.21593044,2.0428331403617785e-06
103202,Hansen Dam,237518.3451491917,50999128.21593044,0.004657302064920373
103202,Sunland,7142349.210654352,50999128.21593044,0.14004845691505993
103300,Hansen Dam,260919.62684966688,66105765.8132818,0.003947002559302378
103300,Shadow Hills,65689849.38936387,66105765.8132818,0.9937083184983788
103300,Sunland,154996.79706848407,66105765.8132818,0.002344678942322192
103401,Tujunga,64371.89172593395,15085817.627718577,0.004267046925428655
103401,Sunland,15021445.735992711,15085817.627718577,0.9957329530745759
103402,Sunland,10477170.038976442,11829767.900443194,0.8856615047015354
103402,Tujunga,1352597.8614667763,11829767.900443194,0.1143384952984667
104103,Lake View Terrace,10215165.994509075,10215165.994509079,0.9999999999999997
104105,Pacoima,5689307.989250142,6292902.149231047,0.9040833393453193
104105,Lake View Terrace,603594.1599809484,6292902.149231047,0.09591666065468757
