neighborhood,total_population,white_alone,black_alone,american_indian_and_alaska_native,asian_alone,native_hawaiian_and_pacific_islander,some_other_race,two_or_more_races,latino_alone,white_percent,black_percent,american_indian_percent,asian_percent,native_hawaiian_percent,other_percent,two_or_more_races_percent,latino_percent,nonwhite_percent,majority_nonwhite,majority_white,majority_black,majority_asian,majority_latino,non_hispanic_percent,diversity_index
Acton,3271.6660937583565,1936.6682590515397,17.997776203370965,1.368340080213529,94.76576566260714,0.0,10.616965386333193,104.088338679422,1106.16064869487,0.5919516856400141,0.00550110423484441,0.00041823952720115024,0.02896559824469865,0.0,0.0032451249858865814,0.03181508616603645,0.3381031612013186,0.4080483143599859,False,True,False,False,False,0.6618968387986814,0.8059475669134516
Adams-Normandie,18168.841674154173,1808.6052482823268,2141.280646774954,9.545147305894018,1620.6840171405615,64.3962884181258,261.9585194234875,520.3585466658222,11742.013260143,0.09954433423541427,0.11785454929804372,0.0005253580540289661,0.08920128460616411,0.0035443254761657055,0.014418008815395912,0.028640160776239845,0.6462719787385474,0.9004556657645857,True,False,False,False,True,0.35372802126145264,0.9827563572932346
Agoura Hills,16592.950737274492,11521.871401454533,263.50375165916404,4.956301626465441,1288.573417055844,21.011225649265345,160.33482616300918,1020.7005328132452,2311.9992808529664,0.6943835116421904,0.01588046368794598,0.00029869923107356543,0.0776578824019037,0.0012662742137880044,0.009662827829822467,0.06151410613908099,0.139336234854195,0.30561648835780963,False,True,False,False,False,0.860663765145805,0.628699109745012
Agua Dulce,4589.92301550375,2736.9450652711894,123.32617733975358,23.30478377158263,233.74458956721853,0.0,4.044070243992749,180.92886766376995,1287.6294616462442,0.5962943291263036,0.026868898873289353,0.005077380098285788,0.050925601317861044,0.0,0.0008810758329350556,0.03941871509666546,0.2805339996546598,0.40370567087369635,False,True,False,False,False,0.7194660003453401,0.7859721222742062
Alhambra,82210.08710001795,7321.3520727834475,1935.5735549410797,257.44947520702823,41962.93903786553,97.00053401085555,162.72821640971046,1634.0850080696357,28838.95920073066,0.08905661496108364,0.023544234329617407,0.003131604457416662,0.5104354041957507,0.001179910366629868,0.0019794190974610332,0.019876940479111583,0.3507958721129291,0.9109433850389164,True,False,False,True,False,0.6492041278870708,0.8535008350847392
Alondra Park,8392.134957842309,1961.7402573981244,478.95614098276786,68.9854153272676,1064.467102819937,1.659687364991824e-05,6.46448929920692e-05,281.2545135541379,4536.731446518306,0.23375937913926315,0.057072025579759225,0.008220246179764053,0.12684103725300683,1.977670012850394e-09,7.703033056166434e-09,0.03351405988666928,0.5405932422808343,0.7662406208607369,True,False,False,False,True,0.4594067577191657,0.9627274941455597
Altadena,41418.25944239493,17441.113121765833,7430.673443542326,60.85257971465623,2228.8237586454084,0.1779286377405834,298.24207859281955,2496.1115590773366,11462.26497241881,0.4210972010067967,0.1794057390044844,0.0014692210762572199,0.05381258866624481,4.295898478980001e-06,0.007200739060694201,0.060265969470517274,0.27674424581652646,0.5789027989932033,True,False,False,False,False,0.7232557541834735,0.8726223047614589
Angeles Crest,2911.586599279478,1623.2738887726275,139.9899187166774,3.6691407717383524,216.86621006085193,2.8555501756713633,12.719510245688992,118.52776184802815,793.6846186881938,0.5575221046745903,0.04808028679322824,0.001260186034874025,0.07448386048847704,0.0009807539904112823,0.004368583867241542,0.04070899415368922,0.2725952299974882,0.4424778953254097,False,True,False,False,False,0.7274047700025118,0.8076923987865202
Arcadia,59291.118248801096,12004.909812863003,763.6914282468655,94.21914750133686,32808.71624379157,268.62490662564744,95.13045211329079,2266.254373756462,10989.571883902925,0.20247399892994514,0.012880368102389565,0.0015890937847717525,0.5533495945567696,0.004530609550968946,0.0016044637868710527,0.03822249336311492,0.18534937792516912,0.7975260010700549,True,False,False,True,False,0.8146506220748309,0.7575249626931109
Arleta,33676.039474095895,3015.0548267238028,179.49821844932055,97.34521978712114,3589.5240804167015,40.351908041103904,20.451009355985178,336.8910264095031,26396.923184912353,0.08953115846781885,0.005330146337053477,0.0028906374177996943,0.10658985250263221,0.001198237936267511,0.000607286654706424,0.010003879068637055,0.7838488016150846,0.9104688415321811,True,False,False,False,True,0.21615119838491537,0.9871636790644269
Arlington Heights,19989.11621678117,1452.3395908727532,3365.2287211843764,21.087515528275173,3956.513438399005,77.23290474574365,32.34121599516875,328.87030755666035,10755.502522499188,0.07265651843344088,0.16835305196530975,0.0010549498686976404,0.1979333851227225,0.0038637478469861234,0.0016179412658583576,0.01645246863293379,0.538067936864051,0.9273434815665591,True,False,False,False,True,0.46193206313594903,0.9633812634766437
Artesia,16259.564686306141,2459.3578376582304,682.5090306782757,0.047702059381304895,6809.771804233022,329.5616663905616,168.06749335311068,99.54412887677998,5710.705023056781,0.15125606897271424,0.041975848913906474,2.9337845324653573e-06,0.4188163665887214,0.020268787802672203,0.010336530933983594,0.006122189049785347,0.35122127395368435,0.8487439310272857,True,False,False,False,False,0.6487787260463156,0.8908964938346795
Athens,9950.445937803564,183.97968370365618,5454.441475052078,44.99999832916644,192.9658702187865,40.99995488749387,22.12670976841891,203.97114916200525,3806.9610966819596,0.018489591808612687,0.5481605054834434,0.004522410212612001,0.019392685656998934,0.004120413812985762,0.0022236902654136827,0.020498694273296994,0.38259200848663655,0.9815104081913874,True,False,True,False,False,0.6174079915133635,0.8410775059709842
Atwater Village,11632.867856601642,3998.031016443128,120.81117412643584,1.1804087059291148,2995.2790180255324,6.92756399564779e-07,18.137307747621815,482.74375314972843,4016.6851777105107,0.34368403954440596,0.010385330222579259,0.00010147185719635196,0.25748414363064515,5.955164350737814e-11,0.0015591432801610402,0.04149825813380763,0.34528761327165297,0.656315960455594,True,False,False,False,False,0.6547123867283471,0.8989041293051069
Avalon,2542.129980303424,1019.7624018840892,4.638219317622119,0.0,3.133155523879669,0.0,0.0,22.76342804730974,1491.8327755305231,0.40114487055550646,0.0018245405835104111,0.0,0.0012324922597017251,0.0,0.0,0.008954470551735021,0.5868436260495463,0.5988551294444935,True,False,False,False,True,0.4131563739504537,0.9171116835578474
Avocado Heights,13746.56325319941,684.9699783632263,135.42441071826784,0.0025847068130811,1614.2748665545216,0.2994304684572789,26.38346811267344,117.08965329216967,11168.11886098328,0.04982845281010908,0.009851510390187803,1.8802567343365103e-07,0.11743115983399059,2.178220570058401e-05,0.001919277395136045,0.00851774011696472,0.8124298892222377,0.9501715471898909,True,False,False,False,True,0.1875701107777623,0.9886191655598827
Azusa,48271.50423157467,6598.9520442573,1207.4097472037652,26.843394237313333,6339.9439323448405,55.989994846451616,208.71622813822674,1061.379004062445,32772.269886484326,0.13670491834271217,0.025012888378439874,0.000556091935907705,0.13133926595554166,0.0011598974537410053,0.004323797889888508,0.021987692759078983,0.6789154472846901,0.8632950816572879,True,False,False,False,True,0.3210845527153099,0.9793762520916629
Baldwin Hills/Crenshaw,33523.65302244826,2759.1580715155706,17407.91238117941,40.107313161587236,1523.9610522215553,10.042896354043334,97.67527258110448,1002.6547454470236,10682.141289987967,0.08230481533942528,0.5192725377966012,0.0011963885061908495,0.045459277698676616,0.00029957643182019464,0.002913622585095327,0.02990887493005674,0.31864490671213375,0.9176951846605748,True,False,True,False,False,0.6813550932878663,0.8424383079464817
Baldwin Park,71265.50200626803,2468.1640372815446,650.0214324518421,145.5159165812641,15758.662352845431,32.01419467914934,42.51750804982403,369.89559863248286,51798.71096574648,0.034633363518080065,0.009121123322679614,0.002041884396863794,0.221126097609744,0.00044922429194890946,0.0005966071500637781,0.005190387890622722,0.726841311819997,0.9653666364819199,True,False,False,False,True,0.273158688180003,0.9697434942386078
Bel-Air,6713.850932630527,5133.839981158724,187.55450448629003,0.2832573163151193,658.7201893864443,0.19818940676905708,27.859566781056103,375.23488942547846,330.1603546694496,0.7646639808768073,0.027935458556987213,4.2189991877603006e-05,0.09811361556821963,2.9519482746603864e-05,0.004149565884111841,0.055889666480643654,0.049176003158606145,0.23533601912319269,False,True,False,False,False,0.9508239968413938,0.46053501838460764
Bell,33229.99327100064,1972.9188506621895,603.5828632065648,46.73785082467184,285.94640232485955,17.860694598673685,39.00149666645454,156.43873527967335,30107.506377437552,0.05937162955684161,0.018163797334659806,0.0014064959461023822,0.008605069522370353,0.0005374871566483424,0.0011736835559485537,0.004707757055617441,0.9060340798718115,0.9406283704431584,True,False,False,False,True,0.0939659201281885,0.9967381523891771
Bell Gardens,39193.71198942061,782.5496790994455,435.1575994506389,4.212880457119759,175.1010900571185,28.869073954267655,22.959537713715363,120.83507353789201,37624.027055150415,0.01996620476546533,0.011102740142809108,0.00010748868232375957,0.004467581179970471,0.0007365741209217478,0.0005857964593890145,0.0030830219288876873,0.9599505927202329,0.9800337952345347,True,False,False,False,True,0.040049407279767135,0.999499274657897
Bellflower,78489.13511704524,10145.996089997585,9357.359342648422,126.12496482259533,8911.528939669673,452.46646133306785,340.5837654661162,2117.919327282379,47037.1562258254,0.12926624907852005,0.11921853042073226,0.001606909856179638,0.11353837606161091,0.005764701836226593,0.004339247272354676,0.026983598737889993,0.5992823867364858,0.87073375092148,True,False,False,False,True,0.4007176132635142,0.977210750734364
